ego_id,cluster
0,8
10,6
12,5
13,0
16,7
22,8
24,1
25,5
27,8
29,3
30,0
32,1
33,1
37,8
38,2
40,2
42,0
47,8
52,8
55,3
57,3
63,5
68,3
70,3
71,6
74,6
77,4
78,7
85,0
86,3
93,2
97,4
98,5
101,1
102,3
103,5
104,5
114,4
116,5
121,5
122,1
124,1
136,2
140,3
144,4
147,1
148,4
151,8
152,1
157,2
158,6
160,7
161,2
164,5
165,1
166,2
167,4
170,2
173,5
176,2
180,1
183,8
186,3
190,2
195,1
196,2
197,3
199,1
201,1
203,8
204,2
206,5
207,4
209,8
213,4
216,3
218,3
220,2
222,1
224,4
225,7
228,2
238,6
239,8
240,7
242,8
244,3
245,2
246,5
249,3
250,3
251,2
253,0
254,8
256,7
258,1
259,2
260,1
264,1
265,3
269,2
273,6
278,8
279,6
281,8
283,2
285,5
289,3
293,5
294,7
295,3
296,8
298,7
299,7
300,8
301,2
305,3
306,6
308,4
312,1
316,2
318,3
320,1
326,6
327,7
335,2
336,6
338,7
340,7
341,6
342,6
344,4
345,8
350,8
351,0
352,1
353,2
354,3
355,8
363,0
364,0
366,2
371,3
377,3
383,6
385,7
394,7
395,2
401,2
404,3
405,0
407,6
412,6
417,4
418,2
420,8
422,2
424,3
427,5
430,8
435,6
437,4
438,7
440,8
441,1
444,5
449,5
453,2
461,8
464,4
465,6
466,6
468,8
470,1
471,7
476,3
477,6
479,3
482,3
483,2
484,2
486,4
487,6
492,2
496,2
497,6
499,8
502,1
503,4
520,2
527,5
528,7
531,8
532,5
534,5
537,6
543,0
545,1
549,5
551,8
556,1
558,3
560,8
562,7
564,0
567,3
575,2
577,5
579,0
580,6
581,7
582,6
583,4
585,7
591,6
593,7
600,6
601,1
606,6
614,3
627,0
629,5
633,1
634,6
635,5
638,8
641,6
643,1
645,8
653,8
656,6
657,8
658,5
666,6
667,3
671,1
672,0
675,6
676,0
677,8
679,4
681,6
685,6
689,6
691,3
692,7
694,1
697,0
703,3
704,1
707,5
708,0
710,7
715,0
718,4
721,6
724,8
726,5
727,1
732,1
734,4
738,3
744,7
748,2
749,8
750,0
757,8
759,3
760,1
765,6
768,5
769,4
772,4
773,8
777,1
779,4
781,7
782,4
786,1
787,2
789,1
792,6
794,6
801,7
805,4
813,3
816,2
817,0
818,4
821,7
822,4
823,0
830,7
836,6
840,6
841,1
843,0
844,6
849,6
850,0
851,4
853,7
855,7
861,4
868,0
8589934593,6
8589934597,6
8589934600,2
8589934604,1
8589934606,3
8589934616,7
8589934619,1
8589934620,0
8589934621,6
8589934622,6
8589934624,7
8589934625,1
8589934630,4
8589934632,0
8589934636,6
8589934639,7
8589934641,2
8589934642,1
8589934643,3
8589934644,6
8589934646,0
8589934648,5
8589934652,4
8589934654,7
8589934657,8
8589934659,0
8589934660,0
8589934662,8
8589934663,4
8589934665,2
8589934667,2
8589934668,2
8589934670,6
8589934672,4
8589934675,6
8589934683,8
8589934685,5
8589934690,7
8589934694,5
8589934703,8
8589934704,3
8589934709,2
8589934712,0
8589934713,5
8589934714,0
8589934716,8
8589934717,5
8589934720,1
8589934721,7
8589934727,3
8589934729,7
8589934731,3
8589934732,6
8589934734,5
8589934736,0
8589934742,3
8589934749,3
8589934752,2
8589934754,3
8589934756,5
8589934757,8
8589934758,1
8589934759,3
8589934761,0
8589934765,1
8589934766,3
8589934768,6
8589934769,2
8589934773,2
8589934775,3
8589934777,2
8589934779,5
8589934780,5
8589934782,6
8589934783,3
8589934785,4
8589934787,3
8589934788,8
8589934791,6
8589934796,0
8589934797,7
8589934798,0
8589934799,3
8589934801,2
8589934803,7
8589934804,6
8589934809,7
8589934811,0
8589934816,7
8589934820,0
8589934821,0
8589934822,3
8589934823,7
8589934827,3
8589934830,7
