,proba,0
52,0.0,0
122,1.0,1
126,1.0,1
46,0.0,0
14,0.0,0
138,0.0,0
9,1.0,1
106,0.0,0
118,0.0,0
123,1.0,1
57,0.0,0
158,1.0,1
30,0.0,0
61,0.0,0
51,0.0,0
192,1.0,1
188,1.0,1
99,1.0,1
35,0.0,0
33,0.0,0
157,1.0,1
48,0.0,0
174,0.0,0
142,0.0,0
11,1.0,1
34,0.0,0
74,1.0,1
82,0.0,0
101,1.0,1
198,0.0,0
195,0.0,0
93,0.0,0
12,0.0,0
162,0.0,0
161,0.0,0
67,0.0,0
66,1.0,1
86,0.0,0
165,0.0,0
81,1.0,1
65,0.0,0
117,1.0,1
78,1.0,1
120,1.0,1
63,1.0,1
89,0.0,0
160,0.0,0
84,1.0,1
87,0.0,0
58,0.0,0
114,0.0,0
37,0.0,0
79,1.0,1
15,1.0,1
19,1.0,1
77,1.0,1
125,1.0,1
176,0.0,0
45,0.0,0
111,1.0,1
72,0.0,0
62,0.0,0
97,0.0,0
60,0.0,0
175,1.0,1
7,0.0,0
6,1.0,1
108,0.0,0
164,0.0,0
59,0.0,0
196,0.0,0
135,0.0,0
47,1.0,1
104,0.0,0
23,1.0,1
2,1.0,1
156,0.0,0
190,0.0,0
189,0.0,0
115,0.0,0
50,1.0,1
110,0.0,0
44,1.0,1
68,1.0,1
56,1.0,1
41,1.0,1
155,1.0,1
42,1.0,1
26,1.0,1
10,0.0,0
32,0.0,0
145,1.0,1
159,1.0,1
185,0.0,0
113,1.0,1
121,0.0,0
1,1.0,1
91,0.0,0
184,1.0,1
107,0.0,0
90,1.0,1
3,1.0,1
17,1.0,1
134,0.0,0
141,0.0,0
148,0.0,0
64,1.0,1
133,1.0,1
143,0.0,0
119,0.0,0
54,1.0,1
194,1.0,1
187,0.0,0
181,1.0,1
129,1.0,1
137,1.0,1
76,0.0,0
49,0.0,0
39,1.0,1
163,0.0,0
179,1.0,1
146,0.0,0
130,0.0,0
83,0.0,0
21,0.0,0
98,0.0,0
24,0.0,0
28,1.0,1
124,1.0,1
178,1.0,1
166,1.0,1
16,1.0,1
70,0.0,0
75,1.0,1
102,1.0,1
4,0.0,0
109,1.0,1
128,1.0,1
69,0.0,0
149,1.0,1
