,proba,0
52,0.15653715492576892,0
122,0.9773105794509805,1
126,0.7262771137395194,1
46,0.3834915203122258,0
14,0.1934259816909899,0
138,0.4475139431069472,0
9,0.76416943090056,1
106,0.23662083481746277,0
118,0.11652880768173352,0
123,0.6835258525653963,1
57,0.006478907929840347,0
158,0.7750538144928404,1
30,0.24502323209791996,0
61,0.1894409432722335,0
51,0.08406082823206405,0
192,0.9946427874015192,1
188,0.8322868039734113,1
99,0.9144384429279948,1
35,0.35280236275808113,0
33,0.10819406167988312,0
157,0.8724999975485694,1
48,0.046603828855998494,0
174,0.10895788364925853,0
142,0.04844947840424707,0
11,0.586146645738664,1
34,0.24649809441826473,0
74,0.9962325045246903,1
82,0.605087126810682,0
101,0.946569011871558,1
198,0.160645334744822,0
195,0.03491096279902716,0
93,0.5412471343207488,0
12,0.027555701146385562,0
162,0.10503020270780983,0
161,0.11950735942037018,0
67,0.021608855518945026,0
66,0.9438953646862652,1
86,0.03913693579130815,0
165,0.12569672785232547,0
81,0.9868564957235575,1
65,0.012071281588431418,0
117,0.7588221103083839,1
78,0.3447593633326002,1
120,0.9044736407191394,1
63,0.8660637931768406,1
89,0.1841619496701344,0
160,0.16440467347761956,0
84,0.5073514817213407,1
87,0.015558758456239241,0
58,0.48797543115154957,0
114,0.029886534201376536,0
37,0.17711076986725607,0
79,0.9713006522355347,1
15,0.9915795498328103,1
19,0.9105983141857987,1
77,0.6542057278257428,1
125,0.04833098026813669,1
176,0.4654860144909494,0
45,0.2721555791010431,0
111,0.809462039226359,1
72,0.06907464715967004,0
62,0.17996201252255592,0
97,0.3911002682324273,0
60,0.22951807665658933,0
175,0.9402812093493795,1
7,0.02239651374024484,0
6,0.9930841253573516,1
108,0.035610517280416004,0
164,0.12354654861830647,0
59,0.11806540547119702,0
196,0.18306648996002864,0
135,0.21057666899065186,0
47,0.6562362233149744,1
104,0.205897696827124,0
23,0.8115855331047275,1
2,0.7646576294061767,1
156,0.012008759823750105,0
190,0.34664232331063427,0
189,0.004077659878847174,0
115,0.173617017938937,0
50,0.8856945389109222,1
110,0.11653711978006158,0
44,0.9302593609961279,1
68,0.7248306761634757,1
56,0.7684504553218003,1
41,0.4267321629881379,1
155,0.6388091052316236,1
42,0.9785021068136446,1
26,0.9928051056589697,1
10,0.2063290472762004,0
32,0.11851844825412576,0
145,0.887375922122731,1
159,0.968306986636535,1
185,0.018138231801342084,0
113,0.9553276253760864,1
121,0.18204473367846216,0
1,0.98146077469145,1
91,0.16368061650589588,0
184,0.9515142667813382,1
107,0.11886105607475099,0
90,0.5105135811306462,1
3,0.8514562953467208,1
17,0.8338256045961336,1
134,0.27368132198800055,0
141,0.21538309885368562,0
148,0.2715870263666914,0
64,0.7566737213022058,1
133,0.8900113678298215,1
143,0.4157202025674708,0
119,0.22855120448605992,0
54,0.4951942473137714,1
194,0.9885807317975285,1
187,0.19523952277631437,0
181,0.27874692338440893,1
129,0.8631485855314907,1
137,0.7715612580196793,1
76,0.30329308629003743,0
49,0.06882937738772438,0
39,0.9747258160947534,1
163,0.8074929527404265,0
179,0.9928999636538638,1
146,0.43581041194117537,0
130,0.1558152648424197,0
83,0.18606256009330352,0
21,0.21868583401176597,0
98,0.15754009374370412,0
24,0.20858672572624098,0
28,0.9912904748921717,1
124,0.7527788429066241,1
178,0.7886442281693394,1
166,0.9851858480937179,1
16,0.8645642523360036,1
70,0.6957196785558124,0
75,0.7930839806327058,1
102,0.8257316715273721,1
4,0.13859625668619605,0
109,0.8027894825224114,1
128,0.18667688831947488,1
69,0.16446536653521082,0
149,0.7533625719276653,1
